doc_number,date,publication_type,patent_length,title,abstract,description,claims
D0758704,20160614,S1,14,Hat with exterior pockets,,,"['The ornamental design for a hat with exterior pockets, as shown and described.']"
D0758718,20160614,S1,14,Bag,,,"['The ornamental design for a bag, as shown and described.']"
D0758732,20160614,S1,14,Stackable tray,,,"['What is claimed is the ornamental design for a stackable tray, as shown and described.']"
D0758746,20160614,S1,14,Clothes hanger accessory,,,"['The ornamental design for a clothes hanger accessory, as shown and described.']"
D0758760,20160614,S1,14,Golf cart floor mat,,,"['The ornamental design for a golf cart floor mat, as shown and described.']"
D0758774,20160614,S1,14,Headrest assembly,,,"['We claim the ornamental design for a headrest assembly, as shown and described.']"
D0758788,20160614,S1,14,Hand blender,,,"['We claim the ornamental design for a hand blender, as shown and described.']"
D0758802,20160614,S1,14,Mug,,,"['The ornamental design for a mug, as shown and described.']"
D0758816,20160614,S1,14,Bucket opener,,,"['The ornamental design for a bucket opener, as shown.']"
D0758830,20160614,S1,14,Lightning protection mount,,,"['The ornamental design for a lightning protection mount, as shown and described.']"
D0758844,20160614,S1,14,Container,,,"['The ornamental design for a container, as shown and described.']"
D0758858,20160614,S1,14,Bottle closure with easy open tabs,,,"['I claim the novel design for a bottle closure with easy open tabs, as shown and described.']"
D0758872,20160614,S1,14,Container,,,"['The ornamental design for a container, as shown and described.']"
D0758886,20160614,S1,14,Wrist watch case,,,"['The ornamental design for a wrist watch case, as shown and described.']"
D0758900,20160614,S1,14,Identification bracelet (or wrist strap) with biometric detection,,,"['The ornamental design for identification bracelet (or wrist strap) with biometric detection, as shown and described.']"
D0758914,20160614,S1,14,Planter riser,,,"['The ornamental design for a planter riser, as shown and described.']"
D0758928,20160614,S1,14,Vehicle front upper grille,,,"['The ornamental design for a vehicle front upper grille, as shown and described.']"
D0758942,20160614,S1,14,Automobile wheel,,,"['I claim the ornamental design for an automobile wheel, as shown and described.']"
D0758956,20160614,S1,14,Tire,,,"['The ornamental design for a tire, as shown and described.']"
D0758970,20160614,S1,14,Edge-wound resistor,,,"['The ornamental design for an edge-wound resistor, as shown and described.']"
D0758984,20160614,S1,14,Video phone set,,,"['The ornamental design for a video phone set, substantially as shown and described.']"
D0758998,20160614,S1,14,Inlay of radio frequency tag,,,"['The ornamental design for an inlay of radio frequency tag, as shown and described.']"
D0759012,20160614,S1,14,Central controller,,,"['The ornamental design for a central controller, as shown and described.']"
D0759026,20160614,S1,14,Leg mounted mouse pad with integrated mouse holster,,,"['The ornamental design for a leg mounted mouse pad with integrated mouse holster, as shown.']"
D0759040,20160614,S1,14,Display screen with graphical user interface,,,"['The ornamental design for a display screen with graphical user interface, as shown and described.']"
D0759054,20160614,S1,14,Display screen with graphical user interface,,,"['The ornamental design for a display screen with graphical user interface, as shown and described.']"
