doc_number,date,publication_type,patent_length,title,abstract,description,claims
D0759354,20160621,S1,14,Knit watch cap with ammunition holder,,,"['The ornamental design for a knit watch cap with ammunition holder, as shown and described.']"
D0759368,20160621,S1,14,Sewing box,,,"['The ornamental design for a sewing box, as shown and described herein.']"
D0759382,20160621,S1,14,Handle for electric toothbrush,,,"['The ornamental design for a handle for electric toothbrush, as shown and described.']"
D0759396,20160621,S1,15,Hanging chair,,,"['The ornamental design for a hanging chair, as shown and described.']"
D0759410,20160621,S1,14,Cocktail table,,,"['I claim the ornamental design for a cocktail table, as shown and described.']"
D0759424,20160621,S1,14,Blender,,,"['The ornamental design for a blender, as shown and described.']"
D0759438,20160621,S1,14,Herb grinding device,,,"['The ornamental design for the herb grinding device, as shown and described.']"
D0759452,20160621,S1,14,Hand operated crimping tool,,,"['The ornamental design for a hand operated crimping tool, as shown and described.']"
D0759466,20160621,S1,14,Bracket,,,"['The ornamental design for a bracket, as shown and described.']"
D0759480,20160621,S1,14,Canister lid with clip,,,"['I claim the ornamental design for a canister lid with clip, as shown and described.']"
D0759494,20160621,S1,14,Bottle,,,"['The ornamental design for a bottle, as shown and described.']"
D0759508,20160621,S1,15,Watch,,,"['The ornamental design for a watch, as shown and described.']"
D0759522,20160621,S1,14,Speedometer for a bicycle,,,"['The ornamental design for a speedometer for a bicycle, as shown.']"
D0759536,20160621,S1,14,Pendant,,,"['The ornamental design for a pendant, as shown and described.']"
D0759550,20160621,S1,14,Radiator grill for a vehicle,,,"['The ornamental design for a radiator grill for a vehicle, as shown and described.']"
D0759564,20160621,S1,15,Vehicle wheel rim,,,"['The ornamental design for a vehicle wheel rim, as shown and described.']"
D0759578,20160621,S1,14,Tire for automobile,,,"['The ornamental design for a tire for automobile, as shown and described.']"
D0759592,20160621,S1,15,Battery pack lid,,,"['The ornamental design for a battery pack lid, as shown and described.']"
D0759606,20160621,S1,14,Contact extraction tool,,,"['The ornamental design for a contact extraction tool, as shown and described.']"
D0759620,20160621,S1,15,TV receiver,,,"['The ornamental design for a TV receiver, as shown and described.']"
D0759634,20160621,S1,15,Audio listening system,,,"['The ornamental design for an audio listening system, as shown and described.']"
D0759648,20160621,S1,14,Computer casing,,,"['The ornamental design for a computer casing, as shown and described.']"
D0759662,20160621,S1,14,Display screen with animated graphical user interface,,,"['I claim the ornamental design for a display screen with animated graphical user interface, as shown and described.']"
D0759676,20160621,S1,14,Display screen or portion thereof with graphical user interface,,,"['The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.']"
D0759690,20160621,S1,14,Display screen or portion thereof with graphical user interface,,,"['The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.']"
D0759704,20160621,S1,14,Display screen or a portion thereof having an animated graphical user interface,,,"['The ornamental design for a display screen or a portion thereof having an animated graphical user interface, as shown and described.']"
D0759718,20160621,S1,14,Display screen with icon or packaging with surface ornamentation,,,"['I claim the ornamental design for an display screen with icon or packaging with surface ornamentation, as shown and described.']"
D0759732,20160621,S1,14,Wire yarn cone holder,,,"['The ornamental design for a wire yarn cone holder, as shown and described.']"
D0759746,20160621,S1,14,Control panel for a musical instrument,,,"['The ornamental design for a control panel for a musical instrument, as shown and described.']"
D0759760,20160621,S1,14,Remote control,,,"['The ornamental design for a remote control, as shown and described.']"
D0759774,20160621,S1,14,Tracks for amusement rides,,,"['The ornamental design for tracks for amusement rides, as shown and described.']"
D0759788,20160621,S1,14,Water purification device,,,"['The ornamental design for a water purification device, as shown and described.']"
D0759802,20160621,S1,14,Earplug tip,,,"['The ornamental design for an earplug tip, as shown and described.']"
D0759816,20160621,S1,14,Female enteral coupling,,,"['The ornamental design for a female enteral coupling, substantially as shown and described.']"
D0759830,20160621,S1,14,Non-invasive neurostimulation device,,,"['The ornamental design for a non-invasive neurostimulation device, substantially as shown.']"
D0759844,20160621,S1,14,Window component extrusion,,,"['The ornamental design for a window component extrusion, as shown and described.']"
D0759858,20160621,S1,14,Electronic light bulb with a movable flame,,,"['The ornamental design for an electronic light bulb with a moveable flame, as shown and described.']"
D0759872,20160621,S1,14,Pole lamp,,,"['The ornamental design for a pole lamp, as shown and described.']"
D0759886,20160621,S1,14,Dual lit grab rail,,,"['The ornamental design for a dual lit grab rail, as shown and described.']"
D0759901,20160621,S1,15,Restraint system,,,"['The ornamental design for the restraint system, as shown and described.']"
D0759915,20160621,S1,15,Door for washing machine,,,"['The ornamental design for a door for washing machine, as shown and described.']"
D0759929,20160621,S1,15,Washboard for washing machine,,,"['The ornamental design for a washboard for washing machine, as shown and described.']"
PP026838,20160621,P2,,Peach tree named Snow Sprite,A new and distinct variety of peach tree ( Prunus persica ,"The present new variety of peach tree, its flowers, foliage and fruit herein described may vary in slight detail due to climate, soil conditions and cultural practices under which the variety may be grown. The present description is that of the variety grown under the ecological conditions prevailing near Modesto, Calif.","['1. A new and distinct variety of peach tree, ( Prunus persica']"
PP026852,20160621,P2,,,A new and distinct Phlox,"The aforementioned photographs and following observations, measurements and values describe plants grown during the spring in 25-cm containers in an outdoor nursery in Bonsall, Calif. and under cultural practices typical of",['1. A new and distinct Phlox']
PP026866,20160621,P2,,,A new and distinct Campanula,"Plants used for the aforementioned photographs and following description were grown in 18-cm containers during the spring and early summer in a glass-covered greenhouse in Oude-Wetering, The Netherlands and under cultural practices typical of commercial",['1. A new and distinct Campanula']
