doc_number,date,publication_type,patent_length,title,abstract,description,claims
D0758054,20160607,S1,14,Shoe,,,"['I claim the ornamental design for a shoe, as shown and described.']"
D0758068,20160607,S1,14,Carrying bag,,,"['The ornamental design for a carrying bag, as shown and described.']"
D0758082,20160607,S1,15,Ergonomic paint roller frame,,,"['The ornamental design for an ergonomic paint roller frame, as shown and described.']"
D0758096,20160607,S1,14,Opaque mat with ribbed pattern,,,"['The ornamental design for an opaque mat with ribbed pattern, as shown and described.']"
D0758110,20160607,S1,14,Support device,,,"['The ornamental design for a support device, as shown and described.']"
D0758124,20160607,S1,14,Butter churn container,,,"['I claim the ornamental design for the butter churn container, as shown and described.']"
D0758138,20160607,S1,14,Raspberry container,,,"['The ornamental design for a raspberry container, as shown and described.']"
D0758152,20160607,S1,14,Snow removal tool,,,"['The ornamental design for a snow removal tool, as shown and described.']"
D0758166,20160607,S1,14,Door latch,,,"['The ornamental design for a door latch, as shown and described.']"
D0758180,20160607,S1,15,Container,,,"['The ornamental design for a container, as shown and described.']"
D0758194,20160607,S1,14,Container,,,"['The ornamental design for a container, as shown and described.']"
D0758208,20160607,S1,14,Clock,,,"['The ornamental design for a clock, as shown and described.']"
D0758222,20160607,S1,14,Oxygen sensor,,,"['The ornamental design for an oxygen sensor, as shown and described.']"
D0758236,20160607,S1,15,Bracelet,,,"['The ornamental design for a bracelet, as shown and described.']"
D0758250,20160607,S1,14,"Vehicle, toy, and/or replicas thereof",,,"['The ornamental design for a vehicle, toy, and/or replicas thereof, as shown and described.']"
D0758264,20160607,S1,14,Window shade switch for aircraft,,,"['The ornamental design for a window shade switch for aircraft, as shown and described.']"
D0758278,20160607,S1,14,Vehicle wheel,,,"['The ornamental design for a vehicle wheel, as shown and described.']"
D0758292,20160607,S1,14,Tire,,,"['The ornamental design for a tire, as shown and described.']"
D0758306,20160607,S1,14,Charger,,,"['The ornamental design for a charger, as shown and described.']"
D0758320,20160607,S1,14,Holder for holding wires and cables,,,"['The ornamental design for a holder for holding wires and cables, as shown and described.']"
D0758334,20160607,S1,14,Handset,,,"['The ornamental design for a handset, as shown and described.']"
D0758348,20160607,S1,14,Speaker,,,"['The ornamental design for speaker, as shown and described.']"
D0758362,20160607,S1,14,Tablet personal computer,,,"['The ornamental design for a tablet personal computer, as shown and described.']"
D0758376,20160607,S1,15,Stand for a display,,,"['The ornamental design for a stand for a display, as shown and described.']"
D0758390,20160607,S1,14,Display screen with graphical user interface,,,"['The ornamental design for a display screen with graphical user interface, as shown and described.']"
D0758404,20160607,S1,14,Display screen or portion thereof with graphical user interface,,,"['The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described.']"
D0758418,20160607,S1,14,Display panel with animated graphical user interface,,,"['The ornamental design for a display panel with animated graphical user interface, as shown and described.']"
D0758432,20160607,S1,14,Display screen or portion thereof with icon,,,"['We claim the ornamental design for a display screen or portion thereof with icon, as shown and described.']"
D0758446,20160607,S1,14,Portion of a display screen with animated graphical user interface,,,"['The ornamental design for a portion of a display screen with animated graphical user interface, as shown and described.']"
D0758460,20160607,S1,14,Roof panel for multi-purpose agricultural vehicle,,,"['The ornamental design for a roof panel for multi-purpose agricultural vehicle, as shown and described.']"
D0758474,20160607,S1,14,Camera mount,,,"['The ornamental design for a camera mount, as shown and described.']"
D0758488,20160607,S1,14,Desk organizer,,,"['The ornamental design for a desk organizer, as shown and described.']"
D0758502,20160607,S1,15,Sloped-roof toy building element,,,"['I claim the ornamental design for a sloped-roof toy building element, as shown.']"
D0758516,20160607,S1,14,Play equipment,,,"['The ornamental design for play equipment, as shown and described.']"
D0758530,20160607,S1,14,Fuel screen,,,"['The ornamental design for a fuel screen, as shown and described.']"
D0758544,20160607,S1,14,Pressure regulator,,,"['The ornamental design for a pressure regulator, as shown and described.']"
D0758558,20160607,S1,14,Air filtration device,,,"['The ornamental design for an air filtration device, as shown and described herein.']"
D0758572,20160607,S1,14,Wound drain dome,,,"['I claim the ornamental design of a wound drain dome, as shown and described.']"
D0758586,20160607,S1,14,Near-infrared spectroscopy system,,,"['We claim the ornamental design for a near-infrared spectroscopy system, as shown and described.']"
D0758600,20160607,S1,14,Cosmetic skin treatment apparatus,,,"['The ornamental design for a cosmetic skin treatment apparatus, as shown and described.']"
D0758614,20160607,S1,14,Pre-assembled wall frame,,,"['I claim the ornamental design for a pre-assembled wall frame, as shown and described.']"
D0758628,20160607,S1,14,Wearable lighting device,,,"['The ornamental design for a wearable lighting device, as shown and described.']"
D0758642,20160607,S1,14,Lighting fixture,,,"['The ornamental design for the lighting fixture, as shown and described.']"
D0758656,20160607,S1,14,Hand-held aerosol forming device,,,"['The ornamental design for a hand-held aerosol forming device, as shown and described.']"
D0758670,20160607,S1,14,Canine house,,,"['The ornamental design for a canine house, as shown and described.']"
D0758684,20160607,S1,14,Grill scraper,,,"['We claim the ornamental design for the grill scraper, as shown and described.']"
PP026797,20160607,P2,,Nectarine tree named Pearlicious X,"The present invention relates to a new and distinct variety of nectarine tree, Prunus persica","Although the new variety of nectarine tree possesses the described characteristics under the ecological conditions at Le Grand, Calif., in the central part of the San Joaquin Valley, it is to be expected that variations in these characteristics may occur when farmed in areas with different climatic conditions, different soil types, and/or varying cultural practices.","['1. A new and distinct variety of nectarine tree, substantially as illustrated and described, that is most similar to Majestic Pearl (U.S. Plant Pat. No. 18,778) nectarine by being a vigorous tree, by being self-fertile, and by producing nectarines that are clingstone in type, globose in shape, full red in skin color, genetically white in flesh color, and firm in texture, but is distinguished therefrom by blooming earlier, by requiring less chilling hours, by having globose instead of reniform leaf glands, and by producing fruit that is somewhat sweeter and slightly more acidic in flavor, and that matures eight days later.']"
PP026811,20160607,P3,,,A new and distinct form of Begonia,The following is a detailed description of the new,['1. A new and distinct form of Begonia']
09357693,20160607,B2,,Air cart metering system,"An agricultural cart including a product metering system comprising an auger assembly extending generally along an axis non-parallel to a horizontal plane and non-perpendicular to the horizontal plane, and a holding chamber disposed at an upstream end of the auger assembly and configured to reduce pulsations within a flow of agricultural product from the auger assembly. The agricultural cart also includes an air source coupled to the product metering system and configured to transfer the agricultural product to an agricultural implement via an airflow.","While only certain features of the invention have been illustrated and described herein, many modifications and changes will occur to those skilled in the art. It is, therefore, to be understood that the appended claims are intended to cover all such modifications and changes as fall within the true spirit of the invention.","['1. An agricultural cart, comprising: a storage tank configured to store agricultural product; a product metering system coupled to the storage tank and configured to distribute the agricultural product in metered quantities, wherein the product metering system comprises a plurality of auger assemblies, each auger assembly is configured to operate at a different turn rate, and each auger assembly comprises: an inlet port positioned proximate to a lower end of the respective auger assembly and configured to receive the agricultural product from the storage tank; an outlet port positioned above the inlet port and configured to deposit the agricultural product from the auger assembly into a respective primary line; a rotatable member configured to rotate at a respective turn rate of the different turn rates to convey the agricultural product upward through the auger assembly from the inlet port toward the outlet port; and an air source coupled to the product metering system and configured to transfer the agricultural product to an agricultural implement via an airflow.', '2. The agricultural cart of claim 1', '3. The agricultural cart of claim 2', '4. The agricultural cart of claim 1', '5. The agricultural cart of claim 4', '6. The agricultural cart of claim 4', '7. The agricultural cart of claim 1', '8. An agricultural cart, comprising: a storage tank configured to store agricultural product; a product metering system coupled to the storage tank, wherein the product metering system comprises a plurality of auger assemblies configured to distribute the agricultural product in metered quantities and a controller configured to independently control a respective turn rate of each auger assembly, and each auger assembly comprises: an auger tube comprising an inlet port positioned proximate to a lower end of the respective auger tube and configured to receive the agricultural product from the storage tank, and an outlet port configured to deposit the agricultural product from the auger tube into a respective primary line; and a helicoid flange coupled to a rotatable shaft and supported within the auger tube, wherein the helicoid flange is configured to convey the agricultural product upward through the auger tube from the inlet port to the outlet port upon rotation of the rotatable shaft at the respective turn rate for the respective auger assembly; and an air source coupled to the product metering system and configured to transfer the agricultural product to an agricultural implement via an airflow.', '9. The agricultural cart of claim 8', '10. The agricultural cart of claim 9', '11. The agricultural cart of claim 8', '12. The agricultural cart of claim 8', '13. The agricultural cart of claim 8', '14. The agricultural cart of claim 8', '15. The agricultural cart of claim 8', '16. An agricultural cart, comprising: a storage tank configured to store agricultural product; a product metering system coupled to the storage tank and configured to distribute the agricultural product in metered quantities via a plurality of primary distribution lines configured to transport the agricultural product to an agricultural implement and a plurality of secondary lines extending to respective row units within the agricultural implement, wherein the product metering system comprises: a plurality of auger assemblies; a controller configured to separately regulate a respective delivery rate of the agricultural product from each of the auger assemblies of the plurality of auger assemblies into a corresponding primary distribution line of the plurality of primary distribution lines, wherein a first primary distribution line of the plurality of primary distribution lines is configured to transfer the agricultural product to a first number of secondary lines of the plurality of secondary lines, a second primary distribution line of the plurality of primary distribution lines is configured to transfer the agricultural product to a second number of secondary lines of the plurality of second lines, the first number of secondary lines is greater than the second number of secondary lines, and the controller is configured to regulate the respective delivery rate from each auger assembly based at least in part on the number of secondary lines coupled to the corresponding primary distribution line; and an air source coupled to the product metering system and configured to provide an airflow to facilitate transfer of the agricultural product within the plurality of primary distribution lines toward the agricultural implement.', '17. The agricultural cart of claim 16', '18. The agricultural cart of claim 16', '19. The agricultural cart of claim 16', '20. The agricultural cart of claim 16']"
