doc_number,date,publication_type,patent_length,title,abstract,description,claims
D0759954,20160628,S1,14,Footwear upper,,,"['The ornamental design for footwear upper, as shown and described.']"
D0759968,20160628,S1,14,Transparent golf bag,,,"['The ornamental design for transparent golf bag, as shown and described.']"
D0759982,20160628,S1,15,Scarf organizer,,,"['The ornamental design for a scarf organizer, as shown and described.']"
D0759996,20160628,S1,14,Heart shaped container with a bite taken out of it,,,"['The ornamental design for a heart shaped container with a bite taken out of it, substantially as shown and described.']"
D0760010,20160628,S1,15,Coffee maker,,,"['An ornamental design for a coffee maker, as shown and described.']"
D0760024,20160628,S1,15,Range and/or components thereof,,,"['The ornamental design for a range and/or components thereof, as shown and described.']"
D0760038,20160628,S1,14,Sifter apparatus,,,"['The ornamental design for a sifter apparatus, as shown and described.']"
D0760052,20160628,S1,14,Pipe carrying device,,,"['The ornamental design for a pipe carrying device, as shown and described.']"
D0760066,20160628,S1,14,Skull mount bracket,,,"['The ornamental design for a skull mount bracket, as shown.']"
D0760080,20160628,S1,14,Sports bottle cap,,,"['What is claimed is the ornamental design for a sports bottle cap, as shown and described.']"
D0760094,20160628,S1,15,Matrix clock,,,"['The ornamental design for a matrix clock, as shown and described.']"
D0760108,20160628,S1,14,Ring,,,"['The ornamental design for a ring, as shown and described.']"
D0760122,20160628,S1,14,Off-road cart,,,"['I claim the ornamental design for an off-road cart, as shown and described.']"
D0760136,20160628,S1,14,Motor vehicle,,,"['The ornamental design for a motor vehicle, as shown and described.']"
D0760150,20160628,S1,14,Tire tread,,,"['The ornamental design for a tire tread, as shown and described.']"
D0760164,20160628,S1,14,Portable power supply,,,"['We claim the ornamental design for a portable power supply, as shown and described.']"
D0760178,20160628,S1,14,Light emitting diode chip,,,"['The ornamental design for a light emitting diode chip, as shown and described.']"
D0760192,20160628,S1,14,Arrayable loudspeaker,,,"['The ornamental design for an arrayable loudspeaker, as shown and described.']"
D0760206,20160628,S1,14,Front glass for mobile phone,,,"['The ornamental design for a front glass for mobile phone, as shown and described.']"
D0760220,20160628,S1,14,Electronic device,,,"['The ornamental design for an electronic device, as shown and described.']"
D0760234,20160628,S1,14,Display screen for digital camera,,,"['The ornamental design for a display screen for digital camera, as shown and described.']"
D0760248,20160628,S1,14,Display screen with graphical user interface,,,"['I claim the ornamental design for a display screen with graphical user interface, as shown and described.']"
D0760262,20160628,S1,14,Display with a graphical user interface,,,"['The ornamental design for a display with a graphical user interface, as shown and described.']"
D0760276,20160628,S1,14,Portion of a display screen with transitional icon,,,"['The ornamental design for a portion of a display screen with transitional icon, as shown and described.']"
D0760290,20160628,S1,14,Portion of a display screen with transitional icon,,,"['The ornamental design for a portion of a display screen with transitional icon, as shown and described.']"
D0760304,20160628,S1,14,Sewing machine,,,"['The ornamental design for a sewing machine, as shown and described.']"
D0760318,20160628,S1,14,Display,,,"['The ornamental design for a display, as shown and described.']"
D0760332,20160628,S1,14,Golf teeing device,,,"['The ornamental design for a golf teeing device, as shown and described.']"
D0760346,20160628,S1,14,UV liquid treatment system housing,,,"['The ornamental design for a UV liquid treatment system housing, as shown and described.']"
D0760360,20160628,S1,14,Automatic faucet,,,"['The ornamental design for an automatic faucet, as shown and described.']"
D0760374,20160628,S1,14,Drug delivery system,,,"['We claim the ornamental design for a drug delivery system, as shown and described.']"
D0760388,20160628,S1,14,Medical device,,,"['The ornamental design for a medical device, as shown and described.']"
D0760402,20160628,S1,14,X-link connector,,,"['The ornamental design for an X-link connector, as shown and described.']"
D0760416,20160628,S1,14,Light fixture,,,"['The ornamental design for a light fixture, as shown and described.']"
D0760430,20160628,S1,14,Hookah capsule,,,"['The ornamental design for a hookah capsule, as shown and described.']"
D0760444,20160628,S1,14,Fire extinguisher,,,"['The ornamental design for a fire extinguisher, as shown and described.']"
D0760458,20160628,S1,14,Control panel for washing machine,,,"['We claim the ornamental design for a control panel for washing machine, as shown and described.']"
